0.00.083.738 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.085.251 I srv    load_model: loading model '/Users/sgj/.lmstudio/models/deepreinforce-ai/Ornith-1.0-9B-GGUF/ornith-1.0-9b-Q4_K_M.gguf'
0.00.876.386 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 37632, kv_unified = 'false'
0.00.889.029 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.00.889.036 I srv  llama_server: model loaded
0.00.889.037 I srv  llama_server: listening on http://127.0.0.1:8080
0.03.131.859 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
2.36.525.900 I slot print_timing: id  0 | task 304 | n_decoded =   1389, tg =  32.91 t/s, tg_3s =  32.65 t/s
2.39.539.939 I slot print_timing: id  0 | task 304 | n_decoded =   1488, tg =  32.90 t/s, tg_3s =  32.85 t/s
2.42.563.934 I slot print_timing: id  0 | task 304 | n_decoded =   1587, tg =  32.89 t/s, tg_3s =  32.74 t/s
2.45.589.439 I slot print_timing: id  0 | task 304 | n_decoded =   1685, tg =  32.86 t/s, tg_3s =  32.39 t/s
2.48.607.576 I slot print_timing: id  0 | task 304 | n_decoded =   1784, tg =  32.86 t/s, tg_3s =  32.80 t/s
2.51.625.603 I slot print_timing: id  0 | task 304 | n_decoded =   1882, tg =  32.84 t/s, tg_3s =  32.47 t/s
2.54.633.011 I slot print_timing: id  0 | task 304 | n_decoded =   1981, tg =  32.84 t/s, tg_3s =  32.92 t/s
2.57.635.479 I slot print_timing: id  0 | task 304 | n_decoded =   2078, tg =  32.82 t/s, tg_3s =  32.31 t/s
3.00.637.435 I slot print_timing: id  0 | task 304 | n_decoded =   2176, tg =  32.81 t/s, tg_3s =  32.65 t/s
3.03.654.275 I slot print_timing: id  0 | task 304 | n_decoded =   2274, tg =  32.80 t/s, tg_3s =  32.48 t/s
3.06.685.193 I slot print_timing: id  0 | task 304 | n_decoded =   2372, tg =  32.78 t/s, tg_3s =  32.33 t/s
3.09.704.369 I slot print_timing: id  0 | task 304 | n_decoded =   2471, tg =  32.78 t/s, tg_3s =  32.79 t/s
3.12.706.697 I slot print_timing: id  0 | task 304 | n_decoded =   2569, tg =  32.77 t/s, tg_3s =  32.64 t/s
3.15.713.906 I slot print_timing: id  0 | task 304 | n_decoded =   2666, tg =  32.75 t/s, tg_3s =  32.26 t/s
3.18.738.762 I slot print_timing: id  0 | task 304 | n_decoded =   2764, tg =  32.74 t/s, tg_3s =  32.40 t/s
3.21.762.736 I slot print_timing: id  0 | task 304 | n_decoded =   2863, tg =  32.74 t/s, tg_3s =  32.74 t/s
3.24.787.265 I slot print_timing: id  0 | task 304 | n_decoded =   2960, tg =  32.72 t/s, tg_3s =  32.07 t/s
3.27.806.230 I slot print_timing: id  0 | task 304 | n_decoded =   3058, tg =  32.71 t/s, tg_3s =  32.46 t/s
3.30.825.355 I slot print_timing: id  0 | task 304 | n_decoded =   3156, tg =  32.70 t/s, tg_3s =  32.46 t/s
3.33.848.577 I slot print_timing: id  0 | task 304 | n_decoded =   3254, tg =  32.69 t/s, tg_3s =  32.42 t/s
3.36.868.460 I slot print_timing: id  0 | task 304 | n_decoded =   3352, tg =  32.69 t/s, tg_3s =  32.45 t/s
3.39.878.218 I slot print_timing: id  0 | task 304 | n_decoded =   3449, tg =  32.67 t/s, tg_3s =  32.23 t/s
3.42.881.973 I slot print_timing: id  0 | task 304 | n_decoded =   3546, tg =  32.66 t/s, tg_3s =  32.29 t/s
3.45.882.422 I slot print_timing: id  0 | task 304 | n_decoded =   3642, tg =  32.64 t/s, tg_3s =  32.00 t/s
3.48.907.664 I slot print_timing: id  0 | task 304 | n_decoded =   3739, tg =  32.63 t/s, tg_3s =  32.06 t/s
3.51.939.903 I slot print_timing: id  0 | task 304 | n_decoded =   3836, tg =  32.61 t/s, tg_3s =  31.99 t/s
3.54.943.942 I slot print_timing: id  0 | task 304 | n_decoded =   3934, tg =  32.61 t/s, tg_3s =  32.62 t/s
3.57.945.159 I slot print_timing: id  0 | task 304 | n_decoded =   4031, tg =  32.61 t/s, tg_3s =  32.32 t/s
3.59.944.920 I slot print_timing: id  0 | task 304 | prompt eval time =    5820.03 ms /  1888 tokens (    3.08 ms per token,   324.40 tokens per second)
3.59.944.929 I slot print_timing: id  0 | task 304 |        eval time =  125628.20 ms /  4096 tokens (   30.67 ms per token,    32.60 tokens per second)
3.59.944.930 I slot print_timing: id  0 | task 304 |       total time =  131448.23 ms /  5984 tokens
3.59.944.931 I slot print_timing: id  0 | task 304 |    graphs reused =       4367
3.59.945.262 I slot      release: id  0 | task 304 | stop processing: n_tokens = 7315, truncated = 0
3.59.998.985 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.990 (> 0.100 thold), f_keep = 0.439
4.00.031.621 I slot launch_slot_: id  0 | task 4404 | processing task, is_child = 0
4.03.356.722 I slot print_timing: id  0 | task 4404 | n_decoded =    105, tg =  34.75 t/s, tg_3s =  34.75 t/s
4.06.379.039 I slot print_timing: id  0 | task 4404 | n_decoded =    210, tg =  34.75 t/s, tg_3s =  34.74 t/s
4.09.405.952 I slot print_timing: id  0 | task 4404 | n_decoded =    315, tg =  34.73 t/s, tg_3s =  34.69 t/s
4.12.406.329 I slot print_timing: id  0 | task 4404 | n_decoded =    418, tg =  34.63 t/s, tg_3s =  34.33 t/s
4.15.428.108 I slot print_timing: id  0 | task 4404 | n_decoded =    523, tg =  34.65 t/s, tg_3s =  34.75 t/s
4.18.456.123 I slot print_timing: id  0 | task 4404 | n_decoded =    628, tg =  34.66 t/s, tg_3s =  34.68 t/s
4.21.484.478 I slot print_timing: id  0 | task 4404 | n_decoded =    734, tg =  34.71 t/s, tg_3s =  35.00 t/s
4.24.512.642 I slot print_timing: id  0 | task 4404 | n_decoded =    840, tg =  34.74 t/s, tg_3s =  35.00 t/s
4.27.525.381 I slot print_timing: id  0 | task 4404 | n_decoded =    945, tg =  34.76 t/s, tg_3s =  34.85 t/s
4.30.533.729 I slot print_timing: id  0 | task 4404 | n_decoded =   1049, tg =  34.74 t/s, tg_3s =  34.57 t/s
4.33.533.759 I slot print_timing: id  0 | task 4404 | n_decoded =   1153, tg =  34.73 t/s, tg_3s =  34.67 t/s
4.36.544.585 I slot print_timing: id  0 | task 4404 | n_decoded =   1257, tg =  34.72 t/s, tg_3s =  34.54 t/s
4.39.551.860 I slot print_timing: id  0 | task 4404 | n_decoded =   1360, tg =  34.68 t/s, tg_3s =  34.25 t/s
4.42.564.734 I slot print_timing: id  0 | task 4404 | n_decoded =   1464, tg =  34.67 t/s, tg_3s =  34.52 t/s
4.45.574.182 I slot print_timing: id  0 | task 4404 | n_decoded =   1568, tg =  34.66 t/s, tg_3s =  34.56 t/s
4.48.589.349 I slot print_timing: id  0 | task 4404 | n_decoded =   1672, tg =  34.65 t/s, tg_3s =  34.49 t/s
4.51.601.692 I slot print_timing: id  0 | task 4404 | n_decoded =   1776, tg =  34.64 t/s, tg_3s =  34.52 t/s
4.54.614.220 I slot print_timing: id  0 | task 4404 | n_decoded =   1880, tg =  34.64 t/s, tg_3s =  34.52 t/s
4.57.628.154 I slot print_timing: id  0 | task 4404 | n_decoded =   1984, tg =  34.63 t/s, tg_3s =  34.51 t/s
5.00.642.686 I slot print_timing: id  0 | task 4404 | n_decoded =   2088, tg =  34.62 t/s, tg_3s =  34.50 t/s
5.03.660.830 I slot print_timing: id  0 | task 4404 | n_decoded =   2192, tg =  34.61 t/s, tg_3s =  34.46 t/s
5.06.661.331 I slot print_timing: id  0 | task 4404 | n_decoded =   2294, tg =  34.59 t/s, tg_3s =  33.99 t/s
5.09.688.196 I slot print_timing: id  0 | task 4404 | n_decoded =   2398, tg =  34.58 t/s, tg_3s =  34.36 t/s
5.12.691.521 I slot print_timing: id  0 | task 4404 | n_decoded =   2501, tg =  34.57 t/s, tg_3s =  34.30 t/s
5.15.692.387 I slot print_timing: id  0 | task 4404 | n_decoded =   2604, tg =  34.56 t/s, tg_3s =  34.32 t/s
5.18.698.059 I slot print_timing: id  0 | task 4404 | n_decoded =   2707, tg =  34.54 t/s, tg_3s =  34.27 t/s
5.21.705.111 I slot print_timing: id  0 | task 4404 | n_decoded =   2810, tg =  34.53 t/s, tg_3s =  34.25 t/s
5.24.712.214 I slot print_timing: id  0 | task 4404 | n_decoded =   2913, tg =  34.52 t/s, tg_3s =  34.25 t/s
5.27.717.456 I slot print_timing: id  0 | task 4404 | n_decoded =   3016, tg =  34.52 t/s, tg_3s =  34.27 t/s
5.30.742.744 I slot print_timing: id  0 | task 4404 | n_decoded =   3120, tg =  34.51 t/s, tg_3s =  34.38 t/s
5.33.743.505 I slot print_timing: id  0 | task 4404 | n_decoded =   3223, tg =  34.50 t/s, tg_3s =  34.32 t/s
5.36.752.128 I slot print_timing: id  0 | task 4404 | n_decoded =   3326, tg =  34.50 t/s, tg_3s =  34.23 t/s
5.39.770.834 I slot print_timing: id  0 | task 4404 | n_decoded =   3429, tg =  34.48 t/s, tg_3s =  34.12 t/s
5.42.788.384 I slot print_timing: id  0 | task 4404 | n_decoded =   3532, tg =  34.47 t/s, tg_3s =  34.13 t/s
5.45.806.097 I slot print_timing: id  0 | task 4404 | n_decoded =   3635, tg =  34.46 t/s, tg_3s =  34.13 t/s
5.48.823.096 I slot print_timing: id  0 | task 4404 | n_decoded =   3738, tg =  34.46 t/s, tg_3s =  34.14 t/s
5.51.842.355 I slot print_timing: id  0 | task 4404 | n_decoded =   3841, tg =  34.45 t/s, tg_3s =  34.11 t/s
5.54.858.758 I slot print_timing: id  0 | task 4404 | n_decoded =   3944, tg =  34.44 t/s, tg_3s =  34.15 t/s
5.57.877.034 I slot print_timing: id  0 | task 4404 | n_decoded =   4047, tg =  34.43 t/s, tg_3s =  34.13 t/s
5.59.310.493 I slot print_timing: id  0 | task 4404 | prompt eval time =     303.86 ms /    49 tokens (    6.20 ms per token,   161.26 tokens per second)
5.59.310.495 I slot print_timing: id  0 | task 4404 |        eval time =  118974.99 ms /  4096 tokens (   29.05 ms per token,    34.43 tokens per second)
5.59.310.496 I slot print_timing: id  0 | task 4404 |       total time =  119278.86 ms /  4145 tokens
5.59.310.496 I slot print_timing: id  0 | task 4404 |    graphs reused =       8445
5.59.310.598 I slot      release: id  0 | task 4404 | stop processing: n_tokens = 7339, truncated = 0
5.59.329.487 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.442
5.59.357.875 I slot launch_slot_: id  0 | task 8502 | processing task, is_child = 0
6.02.667.907 I slot print_timing: id  0 | task 8502 | n_decoded =    105, tg =  34.91 t/s, tg_3s =  34.91 t/s
6.05.683.193 I slot print_timing: id  0 | task 8502 | n_decoded =    210, tg =  34.87 t/s, tg_3s =  34.82 t/s
6.08.697.345 I slot print_timing: id  0 | task 8502 | n_decoded =    315, tg =  34.86 t/s, tg_3s =  34.84 t/s
6.11.709.171 I slot print_timing: id  0 | task 8502 | n_decoded =    415, tg =  34.44 t/s, tg_3s =  33.20 t/s
6.14.727.548 I slot print_timing: id  0 | task 8502 | n_decoded =    519, tg =  34.45 t/s, tg_3s =  34.46 t/s
6.17.751.282 I slot print_timing: id  0 | task 8502 | n_decoded =    624, tg =  34.49 t/s, tg_3s =  34.73 t/s
6.20.768.337 I slot print_timing: id  0 | task 8502 | n_decoded =    727, tg =  34.44 t/s, tg_3s =  34.14 t/s
6.23.782.199 I slot print_timing: id  0 | task 8502 | n_decoded =    829, tg =  34.37 t/s, tg_3s =  33.84 t/s
6.26.810.295 I slot print_timing: id  0 | task 8502 | n_decoded =    931, tg =  34.29 t/s, tg_3s =  33.68 t/s
6.29.831.547 I slot print_timing: id  0 | task 8502 | n_decoded =   1035, tg =  34.30 t/s, tg_3s =  34.42 t/s
6.32.850.519 I slot print_timing: id  0 | task 8502 | n_decoded =   1138, tg =  34.29 t/s, tg_3s =  34.12 t/s
6.35.854.582 I slot print_timing: id  0 | task 8502 | n_decoded =   1239, tg =  34.23 t/s, tg_3s =  33.62 t/s
6.38.860.062 I slot print_timing: id  0 | task 8502 | n_decoded =   1342, tg =  34.23 t/s, tg_3s =  34.27 t/s
6.41.861.217 I slot print_timing: id  0 | task 8502 | n_decoded =   1445, tg =  34.24 t/s, tg_3s =  34.32 t/s
6.44.879.086 I slot print_timing: id  0 | task 8502 | n_decoded =   1548, tg =  34.23 t/s, tg_3s =  34.13 t/s
6.47.893.512 I slot print_timing: id  0 | task 8502 | n_decoded =   1651, tg =  34.23 t/s, tg_3s =  34.17 t/s
6.50.908.827 I slot print_timing: id  0 | task 8502 | n_decoded =   1751, tg =  34.17 t/s, tg_3s =  33.16 t/s
6.53.915.859 I slot print_timing: id  0 | task 8502 | n_decoded =   1848, tg =  34.06 t/s, tg_3s =  32.26 t/s
6.56.928.259 I slot print_timing: id  0 | task 8502 | n_decoded =   1945, tg =  33.96 t/s, tg_3s =  32.20 t/s
6.59.942.648 I slot print_timing: id  0 | task 8502 | n_decoded =   2043, tg =  33.89 t/s, tg_3s =  32.51 t/s
7.02.946.512 I slot print_timing: id  0 | task 8502 | n_decoded =   2140, tg =  33.81 t/s, tg_3s =  32.29 t/s
7.05.966.179 I slot print_timing: id  0 | task 8502 | n_decoded =   2237, tg =  33.74 t/s, tg_3s =  32.12 t/s
7.08.973.557 I slot print_timing: id  0 | task 8502 | n_decoded =   2335, tg =  33.69 t/s, tg_3s =  32.59 t/s
7.11.981.740 I slot print_timing: id  0 | task 8502 | n_decoded =   2433, tg =  33.64 t/s, tg_3s =  32.58 t/s
7.14.986.293 I slot print_timing: id  0 | task 8502 | n_decoded =   2531, tg =  33.60 t/s, tg_3s =  32.62 t/s
7.18.006.751 I slot print_timing: id  0 | task 8502 | n_decoded =   2628, tg =  33.54 t/s, tg_3s =  32.11 t/s
7.21.033.985 I slot print_timing: id  0 | task 8502 | n_decoded =   2726, tg =  33.50 t/s, tg_3s =  32.37 t/s
7.24.062.482 I slot print_timing: id  0 | task 8502 | n_decoded =   2823, tg =  33.45 t/s, tg_3s =  32.03 t/s
7.27.089.130 I slot print_timing: id  0 | task 8502 | n_decoded =   2919, tg =  33.39 t/s, tg_3s =  31.72 t/s
7.30.104.881 I slot print_timing: id  0 | task 8502 | n_decoded =   3016, tg =  33.35 t/s, tg_3s =  32.16 t/s
7.33.117.692 I slot print_timing: id  0 | task 8502 | n_decoded =   3113, tg =  33.31 t/s, tg_3s =  32.20 t/s
7.36.135.951 I slot print_timing: id  0 | task 8502 | n_decoded =   3210, tg =  33.27 t/s, tg_3s =  32.14 t/s
7.39.159.112 I slot print_timing: id  0 | task 8502 | n_decoded =   3306, tg =  33.23 t/s, tg_3s =  31.75 t/s
7.42.176.565 I slot print_timing: id  0 | task 8502 | n_decoded =   3401, tg =  33.18 t/s, tg_3s =  31.48 t/s
7.45.199.872 I slot print_timing: id  0 | task 8502 | n_decoded =   3496, tg =  33.13 t/s, tg_3s =  31.42 t/s
7.48.213.797 I slot print_timing: id  0 | task 8502 | n_decoded =   3592, tg =  33.09 t/s, tg_3s =  31.85 t/s
7.51.239.623 I slot print_timing: id  0 | task 8502 | n_decoded =   3688, tg =  33.05 t/s, tg_3s =  31.73 t/s
7.54.244.937 I slot print_timing: id  0 | task 8502 | n_decoded =   3785, tg =  33.03 t/s, tg_3s =  32.28 t/s
7.57.273.505 I slot print_timing: id  0 | task 8502 | n_decoded =   3882, tg =  33.01 t/s, tg_3s =  32.03 t/s
8.00.288.699 I slot print_timing: id  0 | task 8502 | n_decoded =   3977, tg =  32.97 t/s, tg_3s =  31.51 t/s
8.03.307.568 I slot print_timing: id  0 | task 8502 | n_decoded =   4074, tg =  32.95 t/s, tg_3s =  32.13 t/s
8.03.992.134 I slot print_timing: id  0 | task 8502 | prompt eval time =     302.46 ms /    49 tokens (    6.17 ms per token,   162.00 tokens per second)
8.03.992.145 I slot print_timing: id  0 | task 8502 |        eval time =  124331.77 ms /  4096 tokens (   30.35 ms per token,    32.94 tokens per second)
8.03.992.147 I slot print_timing: id  0 | task 8502 |       total time =  124634.24 ms /  4145 tokens
8.03.992.148 I slot print_timing: id  0 | task 8502 |    graphs reused =      12523
8.03.992.530 I slot      release: id  0 | task 8502 | stop processing: n_tokens = 7339, truncated = 0
8.04.045.812 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 1.000 (> 0.100 thold), f_keep = 0.442
8.04.046.377 I slot launch_slot_: id  0 | task 12600 | processing task, is_child = 0
8.07.373.385 I slot print_timing: id  0 | task 12600 | n_decoded =    103, tg =  34.15 t/s, tg_3s =  34.15 t/s
8.10.380.760 I slot print_timing: id  0 | task 12600 | n_decoded =    204, tg =  33.87 t/s, tg_3s =  33.58 t/s
8.13.402.958 I slot print_timing: id  0 | task 12600 | n_decoded =    299, tg =  33.05 t/s, tg_3s =  31.43 t/s
8.16.426.570 I slot print_timing: id  0 | task 12600 | n_decoded =    389, tg =  32.23 t/s, tg_3s =  29.77 t/s
8.19.443.928 I slot print_timing: id  0 | task 12600 | n_decoded =    481, tg =  31.88 t/s, tg_3s =  30.49 t/s
8.22.445.003 I slot print_timing: id  0 | task 12600 | n_decoded =    580, tg =  32.07 t/s, tg_3s =  32.99 t/s
8.25.469.298 I slot print_timing: id  0 | task 12600 | n_decoded =    679, tg =  32.16 t/s, tg_3s =  32.73 t/s
8.28.484.922 I slot print_timing: id  0 | task 12600 | n_decoded =    776, tg =  32.16 t/s, tg_3s =  32.17 t/s
8.31.489.826 I slot print_timing: id  0 | task 12600 | n_decoded =    872, tg =  32.14 t/s, tg_3s =  31.95 t/s
8.34.505.047 I slot print_timing: id  0 | task 12600 | n_decoded =    967, tg =  32.08 t/s, tg_3s =  31.51 t/s
8.37.532.274 I slot print_timing: id  0 | task 12600 | n_decoded =   1063, tg =  32.04 t/s, tg_3s =  31.71 t/s
8.40.545.349 I slot print_timing: id  0 | task 12600 | n_decoded =   1160, tg =  32.05 t/s, tg_3s =  32.19 t/s
8.43.546.400 I slot print_timing: id  0 | task 12600 | n_decoded =   1257, tg =  32.07 t/s, tg_3s =  32.32 t/s
8.46.563.420 I slot print_timing: id  0 | task 12600 | n_decoded =   1354, tg =  32.08 t/s, tg_3s =  32.15 t/s
8.49.581.618 I slot print_timing: id  0 | task 12600 | n_decoded =   1450, tg =  32.06 t/s, tg_3s =  31.81 t/s
8.52.596.802 I slot print_timing: id  0 | task 12600 | n_decoded =   1546, tg =  32.05 t/s, tg_3s =  31.84 t/s
8.55.619.873 I slot print_timing: id  0 | task 12600 | n_decoded =   1643, tg =  32.05 t/s, tg_3s =  32.09 t/s
8.58.650.257 I slot print_timing: id  0 | task 12600 | n_decoded =   1740, tg =  32.05 t/s, tg_3s =  32.01 t/s
9.01.681.174 I slot print_timing: id  0 | task 12600 | n_decoded =   1837, tg =  32.05 t/s, tg_3s =  32.00 t/s
9.04.691.078 I slot print_timing: id  0 | task 12600 | n_decoded =   1933, tg =  32.04 t/s, tg_3s =  31.89 t/s
9.07.707.836 I slot print_timing: id  0 | task 12600 | n_decoded =   2030, tg =  32.04 t/s, tg_3s =  32.15 t/s
9.10.726.861 I slot print_timing: id  0 | task 12600 | n_decoded =   2127, tg =  32.05 t/s, tg_3s =  32.13 t/s
9.13.742.873 I slot print_timing: id  0 | task 12600 | n_decoded =   2223, tg =  32.04 t/s, tg_3s =  31.83 t/s
9.16.773.280 I slot print_timing: id  0 | task 12600 | n_decoded =   2320, tg =  32.04 t/s, tg_3s =  32.01 t/s
9.19.793.216 I slot print_timing: id  0 | task 12600 | n_decoded =   2416, tg =  32.03 t/s, tg_3s =  31.79 t/s
9.22.822.725 I slot print_timing: id  0 | task 12600 | n_decoded =   2513, tg =  32.03 t/s, tg_3s =  32.02 t/s
9.25.833.627 I slot print_timing: id  0 | task 12600 | n_decoded =   2609, tg =  32.02 t/s, tg_3s =  31.88 t/s
9.28.837.204 I slot print_timing: id  0 | task 12600 | n_decoded =   2702, tg =  31.98 t/s, tg_3s =  30.96 t/s
9.31.855.283 I slot print_timing: id  0 | task 12600 | n_decoded =   2799, tg =  31.99 t/s, tg_3s =  32.14 t/s
9.34.876.614 I slot print_timing: id  0 | task 12600 | n_decoded =   2893, tg =  31.96 t/s, tg_3s =  31.11 t/s
9.37.904.824 I slot print_timing: id  0 | task 12600 | n_decoded =   2990, tg =  31.96 t/s, tg_3s =  32.03 t/s
9.40.931.127 I slot print_timing: id  0 | task 12600 | n_decoded =   3085, tg =  31.94 t/s, tg_3s =  31.39 t/s
9.43.944.827 I slot print_timing: id  0 | task 12600 | n_decoded =   3181, tg =  31.94 t/s, tg_3s =  31.85 t/s
9.46.968.108 I slot print_timing: id  0 | task 12600 | n_decoded =   3278, tg =  31.95 t/s, tg_3s =  32.08 t/s
9.49.994.166 I slot print_timing: id  0 | task 12600 | n_decoded =   3374, tg =  31.94 t/s, tg_3s =  31.72 t/s
9.53.025.913 I slot print_timing: id  0 | task 12600 | n_decoded =   3470, tg =  31.93 t/s, tg_3s =  31.66 t/s
9.56.029.445 I slot print_timing: id  0 | task 12600 | n_decoded =   3564, tg =  31.91 t/s, tg_3s =  31.30 t/s
9.59.057.627 I slot print_timing: id  0 | task 12600 | n_decoded =   3660, tg =  31.91 t/s, tg_3s =  31.70 t/s
10.02.087.650 I slot print_timing: id  0 | task 12600 | n_decoded =   3757, tg =  31.91 t/s, tg_3s =  32.01 t/s
10.05.096.105 I slot print_timing: id  0 | task 12600 | n_decoded =   3851, tg =  31.90 t/s, tg_3s =  31.25 t/s
10.08.122.371 I slot print_timing: id  0 | task 12600 | n_decoded =   3941, tg =  31.84 t/s, tg_3s =  29.74 t/s
10.11.127.417 I slot print_timing: id  0 | task 12600 | n_decoded =   4035, tg =  31.83 t/s, tg_3s =  31.28 t/s
10.13.105.372 I slot print_timing: id  0 | task 12600 | prompt eval time =     310.57 ms /    49 tokens (    6.34 ms per token,   157.77 tokens per second)
10.13.105.380 I slot print_timing: id  0 | task 12600 |        eval time =  128748.40 ms /  4096 tokens (   31.43 ms per token,    31.81 tokens per second)
10.13.105.381 I slot print_timing: id  0 | task 12600 |       total time =  129058.98 ms /  4145 tokens
10.13.105.382 I slot print_timing: id  0 | task 12600 |    graphs reused =      16601
